snyk_id,vulnerability type,ecosystem,package,security release,repository_url,possible release note,possible changelogs,link,Is there a documentation source?,list of sources (separated by semicolon),main source,is the fix mentioned?,How is the fix mentioned? (initial codes); separated by semicolon,How is the fix mentioned? (final codes); separated by semicolon,is there unrelated change mentioned?,is breaking change mentioned?,how the breaking change is mentioned? (initial codes); separated by semicolon,how the breaking change is mentioned? (final codes); separated by semicolon,Additional Comments
SNYK-GOLANG-GITHUBCOMSQUARESQUALOR-559170,SQL Injection,Go,github.com/square/squalor,0.0.0-20200722213924-58a8e4213020,https://github.com/square/squalor,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMSQUARESQUALOR-559170,N,,,,,,,,,,
SNYK-GOLANG-GITHUBCOMTIDWALLGJSON-1055821,Regular Expression Denial of Service (ReDoS),Go,github.com/tidwall/gjson,1.6.5,https://github.com/tidwall/gjson,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-GOLANG-GITHUBCOMTIDWALLGJSON-1055821,Y,,github release note,Y,fix summary; affected comoponent,Fix reference; Affected component listed,N,N,,,
SNYK-GOLANG-K8SIOKOPS-1012426,Cryptographic Issues,Go,k8s.io/kops,1.18.0,https://github.com/kubernetes/kops,https://github.com/kubernetes/kops/releases/tag/v1.18.0,https://github.com/kubernetes/kops/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kops/blob/master/docs/contributing/release.md ; https://github.com/kubernetes/kops/blob/master/docs/release-process.md ; https://github.com/kubernetes/kops/blob/master/docs/welcome/releases.md ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/amazonlinux2/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/centos7/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/centos8/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/containeros/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/coreos/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/debian10/etc/os-release ; https://github.com/kubernetes/kops/blob/master/util/pkg/distributions/tests/debian8/etc/os-release ; https://github.com/ku,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKOPS-1012426,Y,,github release note,N,,,Y,Y,breaking change notice; drop support; api changes; affected configs; potential behavior change explained- action required ,breaking change notice; affected api listed; affected configuration; action required; warnings,
SNYK-GOLANG-K8SIOKUBERNETESPKGFEATURES-536841,Insecure Defaults,Go,k8s.io/kubernetes/pkg/features,1.14.0-alpha.2,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.14.0-alpha.2,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETESPKGFEATURES-536841,Y,,changelog,Y,summary fix; pr reference; affected component,Fix reference; Affected component listed,Y,Y,action required (potential breaking); affected configuration,required action; affected configuration,how to decide on pre-release?
SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Denial of Service (DoS),Go,k8s.io/kubernetes/pkg/kubelet/server,1.15.10,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.15.10,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Y,,changelog,Y,summary fix; pr reference; affected component,Fix reference; Affected component listed,Y,N,,,hy marked only as bug even when have a cve?
SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Denial of Service (DoS),Go,k8s.io/kubernetes/pkg/kubelet/server,1.16.6,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.16.6,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Y,,changelog,N,,,N,N,,,wtf? no notable changes
SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Denial of Service (DoS),Go,k8s.io/kubernetes/pkg/kubelet/server,1.17.2,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.17.2,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETESPKGKUBELETSERVER-561503,Y,,changelog,N,,,N,N,,,wtf? no notable changes
SNYK-GOLANG-K8SIOKUBERNETESPKGVOLUMERBD-1048859,Information Exposure,Go,k8s.io/kubernetes/pkg/volume/rbd,1.20.0-alpha.2,https://github.com/kubernetes/kubernetes,https://github.com/kubernetes/kubernetes/releases/tag/v1.20.0-alpha.2,https://github.com/kubernetes/kubernetes/blob/master/build/pause/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.10.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.11.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.12.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.13.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.14.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.15.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.16.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.17.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.18.md ; https://github.com/kubernetes/kubernetes/blob/master/CHANGELOG/CHANGELOG-1.19.md ; https://github.com/kubernetes/kubernetes/blob/,https://snyk.io/vuln/SNYK-GOLANG-K8SIOKUBERNETESPKGVOLUMERBD-1048859,Y,,changelog,Y,summary fix; pr reference; affected component,Fix reference; Affected component listed,Y,Y,api change notice; affected component; pr reference,breaking change notice; affected api listed; code change referenced,
SNYK-JAVA-COMCAPITALONEDASHBOARD-1042970,Cryptographic Issues,Maven,com.capitalone.dashboard:core,3.6.9,https://github.com/Hygieia/hygieia-core,https://github.com/hygieia/hygieia-core/releases/tag/v3.6.9,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMCAPITALONEDASHBOARD-1042970,Y,github release note,github release note,Y,"vulnerability type, explicit mention",Security notice; Vulnerability description,Y,N,,,
SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Deserialization of Untrusted Data,Maven,com.fasterxml.jackson.core:jackson-databind,2.6.7.3,https://github.com/FasterXML/jackson-databind,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,N,https://github.com/FasterXML/jackson-databind/blob/master/release-notes/VERSION-2.x,,,,,,,,,
SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Deserialization of Untrusted Data,Maven,com.fasterxml.jackson.core:jackson-databind,2.7.9.4,https://github.com/FasterXML/jackson-databind,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,N,https://github.com/FasterXML/jackson-databind/blob/master/release-notes/VERSION-2.x,,,,,,,,,
SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Deserialization of Untrusted Data,Maven,com.fasterxml.jackson.core:jackson-databind,2.8.11.2,https://github.com/FasterXML/jackson-databind,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Y,https://github.com/FasterXML/jackson-databind/blob/master/release-notes/VERSION-2.x,changelog,Y,cve mentioned; pr mentioned; vuln details,Security notice; Fix referenced; Advisory reference,Y,N,,,
SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Deserialization of Untrusted Data,Maven,com.fasterxml.jackson.core:jackson-databind,2.9.5,https://github.com/FasterXML/jackson-databind,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMFASTERXMLJACKSONCORE-72446,Y,https://github.com/FasterXML/jackson-databind/blob/master/release-notes/VERSION-2.x,changelog,N,,,Y,N,,,
SNYK-JAVA-COMGOOGLEPROTOBUF-173761,Integer Overflow,Maven,com.google.protobuf:protobuf-java,3.4.0,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.4.0,https://github.com/protocolbuffers/protobuf/blob/master/CHANGES.txt ; https://github.com/protocolbuffers/protobuf/blob/master/csharp/CHANGES.txt,https://snyk.io/vuln/SNYK-JAVA-COMGOOGLEPROTOBUF-173761,Y,github release note; changelog,changelog,N,,,Y,N ,,,fix was already available? vulnerability was discussed; sca tools picked up a lot later
SNYK-JAVA-COMSHOPIZER-567251,Improper Input Validation,Maven,com.shopizer:sm-core-model,2.11.0,https://github.com/shopizer-ecommerce/shopizer,not found through script,https://github.com/shopizer-ecommerce/shopizer/blob/master/RELEASE-NOTES.md,https://snyk.io/vuln/SNYK-JAVA-COMSHOPIZER-567251,N,,,,,,,,,,
SNYK-JAVA-COMVAADIN-1069817,Timing Attack,Maven,com.vaadin:vaadin-server,8.12.3,https://github.com/vaadin/framework,https://github.com/vaadin/framework/releases/tag/8.12.3,https://github.com/vaadin/framework/blob/master/all/src/main/templates/release-notes.html ; https://github.com/vaadin/framework/blob/master/test/servlet-containers/karaf/karaf-run/apache-karaf-4.2.1-minimal/RELEASE-NOTES.md ; https://github.com/vaadin/framework/blob/master/uitest/src/main/resources/com/vaadin/tests/components/tree/TreeContainerChange ; https://github.com/vaadin/framework/blob/master/uitest/src/main/webapp/VAADIN/themes/tests-tickets/layouts/Ticket1519_News.html,https://snyk.io/vuln/SNYK-JAVA-COMVAADIN-1069817,Y,,github release note,Y,summary of fix,Fix referenced,N,N,,,
SNYK-JAVA-COMVAADIN-1074927,Timing Attack,Maven,com.vaadin:flow-server,6.0.0,https://github.com/vaadin/flow,https://github.com/vaadin/flow/releases/tag/6.0.0,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-COMVAADIN-1074927,Y,,github release note,N,,,Y,Y,breaking change notice; pr referenced; affected function; summary of change,breaking change notice; code change referenced; affected api listed,
SNYK-JAVA-ORGAPACHEACTIVEMQ-32101,Information Exposure,Maven,org.apache.activemq:activemq-openwire-generator,5.15.3,https://github.com/apache/activemq/tree/main/activemq-openwire-generator,not found through script,,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-32101,N,,,,,,,,,,
SNYK-JAVA-ORGAPACHEACTIVEMQ-450204,Cross-site Scripting (XSS),Maven,org.apache.activemq:activemq-web,5.15.12,https://github.com/apache/activemq,not found through script,no changlog found in script,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEACTIVEMQ-450204,N,,,,,,,,,,
SNYK-JAVA-ORGAPACHECAMEL-569125,Rebind Flaw,Maven,org.apache.camel:camel-spring,2.25.1,https://github.com/apache/camel,not found through script,https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/change-data-capture.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/exchangeProperty-language.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/message-history.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/xchange-component.adoc ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/component/xchange ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/configurer/xchange-component ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/c,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHECAMEL-569125,Y, https://camel.apache.org/blog/2020/04/RELEASE-2.25.1/,homepage announcement,N,,,Y,N,,,
SNYK-JAVA-ORGAPACHECAMEL-569125,Rebind Flaw,Maven,org.apache.camel:camel-spring,3.2.0,https://github.com/apache/camel,not found through script,https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/change-data-capture.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/exchangeProperty-language.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/message-history.adoc ; https://github.com/apache/camel/blob/master/catalog/camel-catalog/src/generated/resources/org/apache/camel/catalog/docs/xchange-component.adoc ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/component/xchange ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/configurer/xchange-component ; https://github.com/apache/camel/blob/master/components/camel-xchange/src/generated/resources/META-INF/services/org/apache/camel/c,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHECAMEL-569125,Y,https://camel.apache.org/blog/2020/04/RELEASE-3.2.0/,homepage announcement,Y,pr referenced,Fix referenced,Y,N,,,
SNYK-JAVA-ORGAPACHEDERBY-32274,Security Bypass,Maven,org.apache.derby:derby,10.14.2.0,https://github.com/apache/derby,not found through script,,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEDERBY-32274,Y,http://db.apache.org/derby/,homepage announcement,Y,security mention; summary of fix,Security notice; Fix referenced,Y,N,,,homepage announcement may have their release note in the repository in html; non-readable format
SNYK-JAVA-ORGAPACHEHADOOP-174573,Arbitrary File Write via Archive Extraction (Zip Slip),Maven,org.apache.hadoop:hadoop-common,2.7.7,https://github.com/apache/hadoop,not found through script,https://github.com/apache/hadoop/blob/master/dev-support/bin/create-release ; https://github.com/apache/hadoop/blob/master/dev-support/bin/releasedocmaker ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/ChangeLog ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/NEWS ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/CHANGELOG.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/RELEASENOTES.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/CHANGELOG.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/RELEASENOTES.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.10.,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEHADOOP-174573,Y,https://hadoop.apache.org/release.html,homepage announcement,Y,mention cve,Advisory reference,N,N,,,
SNYK-JAVA-ORGAPACHEHADOOP-174573,Arbitrary File Write via Archive Extraction (Zip Slip),Maven,org.apache.hadoop:hadoop-common,2.8.5,https://github.com/apache/hadoop,not found through script,https://github.com/apache/hadoop/blob/master/dev-support/bin/create-release ; https://github.com/apache/hadoop/blob/master/dev-support/bin/releasedocmaker ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/ChangeLog ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/NEWS ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/CHANGELOG.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/RELEASENOTES.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/CHANGELOG.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/RELEASENOTES.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.10.,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEHADOOP-174573,Y,https://hadoop.apache.org/release.html,homepage announcement,N,,,Y,N,,,
SNYK-JAVA-ORGAPACHEHADOOP-174573,Arbitrary File Write via Archive Extraction (Zip Slip),Maven,org.apache.hadoop:hadoop-common,2.9.2,https://github.com/apache/hadoop,not found through script,https://github.com/apache/hadoop/blob/master/dev-support/bin/create-release ; https://github.com/apache/hadoop/blob/master/dev-support/bin/releasedocmaker ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/ChangeLog ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/NEWS ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/CHANGELOG.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/RELEASENOTES.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/CHANGELOG.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/RELEASENOTES.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.10.,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEHADOOP-174573,Y,https://hadoop.apache.org/release.html,homepage announcement,N,,,Y,N,,,
SNYK-JAVA-ORGAPACHEHADOOP-174573,Arbitrary File Write via Archive Extraction (Zip Slip),Maven,org.apache.hadoop:hadoop-common,3.0.3,https://github.com/apache/hadoop,not found through script,https://github.com/apache/hadoop/blob/master/dev-support/bin/create-release ; https://github.com/apache/hadoop/blob/master/dev-support/bin/releasedocmaker ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/ChangeLog ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/NEWS ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/CHANGELOG.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/RELEASENOTES.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/CHANGELOG.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/RELEASENOTES.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.10.,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEHADOOP-174573,Y,https://hadoop.apache.org/release.html,homepage announcement,N,,,Y,N,,,
SNYK-JAVA-ORGAPACHEHADOOP-174573,Arbitrary File Write via Archive Extraction (Zip Slip),Maven,org.apache.hadoop:hadoop-common,3.1.1,https://github.com/apache/hadoop,not found through script,https://github.com/apache/hadoop/blob/master/dev-support/bin/create-release ; https://github.com/apache/hadoop/blob/master/dev-support/bin/releasedocmaker ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/ChangeLog ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/main/native/NEWS ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/CHANGELOG.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.0/RELEASENOTES.0.1.0.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/CHANGELOG.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.1.1/RELEASENOTES.0.1.1.md ; https://github.com/apache/hadoop/blob/master/hadoop-common-project/hadoop-common/src/site/markdown/release/0.10.,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEHADOOP-174573,Y,https://hadoop.apache.org/release.html,homepage announcement,N,,,Y,N,,,
SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Cross-site Scripting (XSS),Maven,org.apache.jackrabbit:jackrabbit-jcr-commons,2.10.2,https://github.com/apache/jackrabbit,not found through script,https://github.com/apache/jackrabbit/blob/master/jackrabbit-jcr-tests/src/main/resources/org/apache/jackrabbit/test/api/nodetype/spec/nt-versionHistory.txt ; https://github.com/apache/jackrabbit/blob/master/RELEASE-NOTES.txt,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Y,http://jackrabbit.apache.org/jcr/news-archive.html,homepage announcement,N,,,N,N,,,
SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Cross-site Scripting (XSS),Maven,org.apache.jackrabbit:jackrabbit-jcr-commons,2.12.1,https://github.com/apache/jackrabbit,not found through script,https://github.com/apache/jackrabbit/blob/master/jackrabbit-jcr-tests/src/main/resources/org/apache/jackrabbit/test/api/nodetype/spec/nt-versionHistory.txt ; https://github.com/apache/jackrabbit/blob/master/RELEASE-NOTES.txt,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Y,http://jackrabbit.apache.org/jcr/news-archive.html,homepage announcement,N,,,N,N,,,
SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Cross-site Scripting (XSS),Maven,org.apache.jackrabbit:jackrabbit-jcr-commons,2.4.6,https://github.com/apache/jackrabbit,not found through script,https://github.com/apache/jackrabbit/blob/master/jackrabbit-jcr-tests/src/main/resources/org/apache/jackrabbit/test/api/nodetype/spec/nt-versionHistory.txt ; https://github.com/apache/jackrabbit/blob/master/RELEASE-NOTES.txt,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,N,,,,,,,,,,
SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Cross-site Scripting (XSS),Maven,org.apache.jackrabbit:jackrabbit-jcr-commons,2.6.6,https://github.com/apache/jackrabbit,not found through script,https://github.com/apache/jackrabbit/blob/master/jackrabbit-jcr-tests/src/main/resources/org/apache/jackrabbit/test/api/nodetype/spec/nt-versionHistory.txt ; https://github.com/apache/jackrabbit/blob/master/RELEASE-NOTES.txt,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,N,,,,,,,,,,
SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Cross-site Scripting (XSS),Maven,org.apache.jackrabbit:jackrabbit-jcr-commons,2.8.2,https://github.com/apache/jackrabbit,not found through script,https://github.com/apache/jackrabbit/blob/master/jackrabbit-jcr-tests/src/main/resources/org/apache/jackrabbit/test/api/nodetype/spec/nt-versionHistory.txt ; https://github.com/apache/jackrabbit/blob/master/RELEASE-NOTES.txt,https://snyk.io/vuln/SNYK-JAVA-ORGAPACHEJACKRABBIT-460325,Y,http://jackrabbit.apache.org/jcr/news-archive.html,homepage announcement,N,,,N,N,,,
